game,title,category,good
B003UES8YI,Breath of Fire III (Sony PSP),"{'Games', 'Sony PSP'}",True
B003UHPIRU,Sega Hatsune Miku: Project Diva 2nd for PSP (Japanese Language Import),"{'Games', 'Sony PSP'}",False
B001DUI3A0,Final Fantasy Type-0 [Japan Import],"{'Games', 'Sony PSP'}",True
B005LFIJWU,Dangan-Ronpa: Kibou no Gakuen to Zetsubou no Koukousei (PSP the Best) [Japan Import],"{'Games', 'Sony PSP'}",False
B000VBISM0,Castlevania The Dracula X Chronicles,"{'Games', 'Sony PSP'}",True
B004WMS70C,BlazBlue Continuum Shift II - Sony PSP,"{'Games', 'Sony PSP'}",True
B005OMXAE2,Call of Duty: Black Ops Rezurrection [Online Game Code],"{'Games', 'Sony PSP'}",False
B00161G20Y,Gauntlet - Nintendo DS,"{'Games', 'Nintendo DS'}",False
B00690LRK2,Naruto Shippuden: Ultimate Ninja Heroes 3 - Essentials (PSP) (UK),"{'Games', 'Sony PSP'}",True
B00005A4Z8,Kill Bill Vol. 2 [UMD for PSP],"{'Games', 'Sony PSP'}",True
