game,title,category,good
B0186D1UW4,Odin Sphere Leifthrasir - PlayStation 3 Standard Edition,"{'Games', 'PlayStation 3'}",True
B0146DKJGQ,Saint Seya: Soldier's Soul English/Spanish Version,"{'Games', 'PlayStation 4'}",False
B004BH5R9W,Mushihimesama Futari Ver 1.5 (Platinum Collection) - Region Free - Xbox 360,"{'Xbox 360', 'Games'}",False
B00GV8QTPU,Halo Origins Bundle - Xbox 360,"{'Xbox 360', 'Games'}",True
B01GCF3I96,"Khanka Hard Case Travel Storage Bag for Sony PlayStation PS4 Gold Wireless Stereo Headset, for PlayStation DualShock 4 Wireless Controller (1pcs). Mesh Pocket for USB and Cables","{'Headsets', 'PlayStation 4', 'Accessories'}",True
B002GP6WAY,PixelJunk Monsters  [Online Game Code - Full Game],"{'Digital Games & DLC', 'Games', 'PlayStation 3'}",False
B00R2IXPU0,Fighting Edition: Tekken 6 / Tag Tournament 2 / Soul Calibur V  - Playstation 3,"{'Games', 'PlayStation 3'}",False
B00O4YK3O6,Ryu ga Gotoku 1&2 HD EDITION PlayStation®3 the Best[Japan Import],"{'Games', 'PlayStation 3'}",True
B004Y3D236,Dead Space,"{'Xbox 360', 'Games'}",True
B00YQDJ4T0,Far Cry 3  - PS3 [Digital Code],"{'Digital Games & DLC', 'Games', 'PlayStation 3'}",True
