game,title,category,good
B004YJ0J7M,Wii SANYO Inductive Charging System,"{'Batteries & Chargers', 'Chargers', 'Wii', 'Accessories'}",True
B00FY4D5GI,Skylanders SWAP Force Single Character Pack Volcanic Lava Barf Eruptor S3 LOOSE,{'Wii'},True
B00BMV9GYM,NHL Slapshot,"{'Games', 'Kids & Family', 'Wii'}",False
B006KH96IO,Wii Skylanders Spyros Adventure Mega Pack - Starter Pack + 2 Adventure Packs,"{'Games', 'Kids & Family', 'Wii'}",True
B00ARY9XSO,The Last Story - Limited Edition with Artbook (Nintendo Wii),"{'Games', 'Kids & Family', 'Wii'}",True
B001NNPHWY,"AC/DC Fan Pack: Includes Nintendo Wii Edition of ""AC/DC Live: Rock Band Track Pack,"" DVD of ""No Bull: The Director's Cut,"" and AC/DC Black Ice Logo T-Shirt","{'Games', 'Wii'}",False
B00GWSEB5O,Skylanders SWAP Force Super Bundle Pack For Nintendo Wii,"{'Games', 'Kids & Family', 'Wii'}",True
B00IA3RL2E,Disney Infinity Wii Replacement Game Only - No Base or Figures Included,"{'Games', 'Kids & Family', 'Wii'}",True
B00L5HFD0O,Wii Karaoke Revolution (Game Only),"{'Games', 'Wii'}",False
B0176QOJTI,Nintendo Wii ExciteBots: Trick Racing (Certified Refurbished),"{'Games', 'Kids & Family', 'Wii'}",True
