game,title,category,good
B0009VXBAQ,Wii,{'Wii'},False
B000FO4KO8,Nintendo DS Lite Polar White,"{'Consoles', 'Nintendo DS'}",True
B000P46NMK,Assassin's Creed,"{'Xbox 360', 'Games'}",False
B000VJRU44,Wii Fit Game with Balance Board,"{'Games', 'Kids & Family', 'Wii'}",True
B0053BG26C,Just Dance 3 [Nintendo Wii],"{'Games', 'Kids & Family', 'Wii'}",True
B000FQ9R4E,Super Smash Bros. Brawl,"{'Games', 'Wii'}",True
B000XJNTNS,Mario Kart Wii with Wii Wheel,"{'Controllers', 'Racing Wheels', 'Wii', 'Accessories'}",True
B002BSA20M,Halo Reach,"{'Xbox 360', 'Games'}",False
B000066TS5,Kingdom Hearts,"{'Games', 'Retro Gaming & Microconsoles', 'PlayStation 2'}",True
B000ERVMI8,New Super Mario Bros,"{'Games', 'Nintendo DS'}",True
