game,title,category,good
B000N4JENW,IL-2 Sturmovik: 1946 - PC,"{'PC', 'Games'}",True
B00005V6BG,Buffy the Vampire Slayer,"{'Xbox', 'Games', 'Retro Gaming & Microconsoles'}",False
B000096KDT,Microsoft Flight Simulator 2004: A Century of Flight - PC,"{'PC', 'Games'}",True
B0002AL1Z6,Brothers in Arms: Road to Hill 30 - PC,"{'PC', 'Games'}",True
B00001LCDP,Microsoft Combat Flight Simulator: WWII Europe Series - PC,"{'PC', 'Games'}",True
B000087L4G,Return to Castle Wolfenstein: Tides of War - Xbox,"{'Xbox', 'Games', 'Retro Gaming & Microconsoles'}",True
B00005N9AC,Microsoft Flight Simulator 2002 Standard - PC,"{'PC', 'Games'}",True
B00005V5N3,Wreckless: The Yakuza Missions,"{'Xbox', 'Retro Gaming & Microconsoles'}",True
B00004VXAZ,Sid Meier's Civilization II (Jewel Case),"{'PC', 'Games'}",False
B00000K514,Star Wars: Rebellion - PC,"{'PC', 'Games'}",True
