game,title,category,good
B00004DS41,Heroes of Might and Magic III,"{'Games', 'Mac'}",False
B007N90II0,Xbox 360 Wireless Controller - Chrome Red,"{'Controllers', 'Xbox 360', 'Gamepads & Standard Controllers', 'Accessories'}",False
B00004RJXR,Diablo 2: Collector's Edition,"{'PC', 'Games'}",False
B000067GAN,Rally Trophy - PC,"{'PC', 'Games'}",True
B00Q6A56DY,amiibo Smash Sheik,"{'Wii U', 'Interactive Gaming Figures'}",False
B000CC4VIS,Heretic: Shadow Of The Serpent Riders,{'PC'},True
B00000K50T,Lucas Archives Volume 1 - PC,"{'PC', 'Games'}",True
B00002970Q,Descent 1 & 2: The Definitive Collection - PC,"{'PC', 'Games'}",True
B00007JDR7,Unreal Tournament Game Of The Year (Jewel Case),"{'PC', 'Games'}",True
B000PWUYZY,Trackmania United - PC,"{'PC', 'Games'}",True
