game,title,category,good
B0146DKJGQ,Saint Seya: Soldier's Soul English/Spanish Version,"{'Games', 'PlayStation 4'}",False
B013Q0YMS6,Super Mega Baseball (3-Way Cross Buy) - PS4 [Digital Code],"{'Digital Games & DLC', 'Games', 'PlayStation 4'}",False
B00JR4RL3O,Minecraft Ps3,set(),True
B00M9ZFD9C,Vertical Stand Holder for Sony Playstation 3 Slim PS3,{'PlayStation 3'},True
B005PPOBVO,Thrustmaster VG Thrustmaster T500 F1 Racing Wheel - PC,"{'PC', 'Racing Wheels', 'Controllers', 'Accessories'}",False
B00GND0N3C,Call of Duty Ghosts Season Pass DLC Code Card - Playstation 3,"{'Downloadable Content', 'Digital Games & DLC', 'PlayStation 3'}",True
B00HZ2BFPK,"OEM Microsoft Blue Chrome Xbox 360 Controller Shell Housing (thumbsticks, transforming d-pad, buttons, ect)","{'Controllers', 'Xbox 360', 'Gamepads & Standard Controllers', 'Accessories'}",True
B00R2IXPU0,Fighting Edition: Tekken 6 / Tag Tournament 2 / Soul Calibur V  - Playstation 3,"{'Games', 'PlayStation 3'}",False
B015AIZ6QY,[PS4] Soccer FC #6 Liga BBVA - Real Madrid CF Whole Body VINYL SKIN STICKER DECAL COVER for PS4 Playstation 4 System Console and Controllers,"{'Faceplates, Protectors & Skins', 'PlayStation 4', 'Accessories'}",True
B00589X5RI,JAMSWALL Xbox 360 Game Controller Game Controller Gamepad USB Wired Shoulders Buttons Improved Ergonomic Design Joypad Gamepad Controller for Microsoft Xbox & Slim 360 PC Windows 7,"{'Controllers', 'Xbox 360', 'Joysticks', 'Accessories'}",True
